"","T_cell","B_cell","NK_cell","Monocyte","Dendritic","Endothelial","Fibroblast","Epithelial"
"MIX_026",0.0100281664102837,0.771993353752898,0.00288224738957411,0.00458727614947119,0.201284338754643,0.00436114478461386,0.00130708570088296,0.00355638705763352
"MIX_027",0,0.00321450950296621,0.801546909254435,0,0,0.195238581242598,0,0
"MIX_028",0,0,0.0038009098406742,0.795270416901297,0,0.000446733999429086,0.200481939258599,0
"MIX_029",0,0,0,0.00599243701631948,0.793709606396819,0,0.000451620772789429,0.199846335814072
"MIX_030",0.191522608294628,0,0,0,0.000660216477901016,0.807817175227471,0,0
"MIX_031",0,0.192616987854974,0,0,0,0,0.807383012145026,0
"MIX_032",0.000407455884489594,0.000401613572587278,0.198729741624744,0,0,0,0.00561742677781386,0.794843762140365
"MIX_033",0.794652087028058,0,0,0.20093161623509,0.000237170520172636,7.1137792724385e-05,0,0.00410798842395427
"MIX_034",0.445769924842616,0.000995879833890323,0.44993048766893,0.000622732259299624,0.00108573406446255,0.101103314509937,0.000383751496553675,0.000108175324310206
"MIX_035",0.000711008498398114,0.00096755516620721,0.000372191119703061,0.446596157462738,0.450814750628665,0.000588422328244687,0,0.0999499147960437
"MIX_036",0,0.098752791450167,0,0,0,0.452728853163208,0.448518355386625,0
"MIX_037",0,0.000310284584675857,0.101300146881095,0.00129581485439778,0.00113078384532855,0.00193043934790404,0.447067540974786,0.446964989511812
"MIX_038",0.45557642337002,0.440192708385158,0,0.00123911485716929,0.101144894020372,0.00076907173882873,0,0.00107778762845095
"MIX_039",0.000773026133806143,0.103316805819997,0.00024066658027147,0.00109498635723819,0.447758252526217,0.000128235376615979,0.445154975996276,0.00153305120957831
"MIX_040",0.452712771454934,0,0.447279008239036,2.82566875832446e-05,0,0.0999799636184457,0,0
"MIX_041",0,0,0.000377553603788938,0.449214425664729,0.449704408109541,0,0.000143812080478825,0.100559800541462
"MIX_042",0.0191761727190428,0.152329657843986,0.134649666429264,0.152286808789938,0.453917984740925,0.00884943936159094,0.00701923148587445,0.0717710386293782
"MIX_043",0.313320024962562,0.11788468303939,0.112121737306231,0.28406980616755,0.00453661196010169,0.0297944632285404,0.0624086848600354,0.0758639884755899
"MIX_044",0.0949284288890144,0.281941221588372,0,0.0130999190642343,0.00204487145240397,0.122888027751646,0.485097531254329,0
"MIX_045",0.29385122193872,0.257072925380911,0.0366647794771506,0.0039250767099922,0.0696980659701335,0.103820826824617,0.115318250216881,0.119648853481594
"MIX_046",0.18022432293148,0.0813431109605606,0.0338203921538412,0.320805899932789,0.176099455484975,0.0032464524528649,0.147711197134984,0.0567491689485051
"MIX_047",0.283049665285881,0.28192891340073,0.00414889942328447,0.203059982443704,0.00391541358883349,0.143088099648801,0.015488986440443,0.0653200397683229
"MIX_048",0.0754753053338378,0.165251319525336,0.00459609398695818,0.286641452548139,0.0299376370724536,0.0637745163719004,0.366908877696248,0.0074147974651263
